epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,3314.42,1.39454,1.59016,0.01014,0.68117,0.54313,0.57321,0.41029,1.34361,1.66465,0.00886,0.000429068,0.000429068,0.000429068
64,3371.99,1.44944,1.66819,0.01285,0.66582,0.54902,0.57412,0.40112,1.37674,1.70033,0.00919,0.000418069,0.000418069,0.000418069
65,3432.51,1.40452,1.67764,0.01205,0.67412,0.54759,0.58224,0.40417,1.4053,1.69565,0.00948,0.00040707,0.00040707,0.00040707
66,3494.18,1.36966,1.54069,0.01017,0.70013,0.55069,0.5963,0.42408,1.34442,1.66255,0.00891,0.000396071,0.000396071,0.000396071
67,3552.83,1.42987,1.73804,0.01336,0.68769,0.55734,0.59557,0.42649,1.30614,1.67688,0.00864,0.000385073,0.000385073,0.000385073
68,3606.83,1.3725,1.6921,0.01127,0.68367,0.55649,0.58194,0.41965,1.28962,1.68355,0.00854,0.000374074,0.000374074,0.000374074
69,3667.62,1.42135,1.6569,0.01163,0.6772,0.5449,0.5734,0.40233,1.34852,1.66679,0.00907,0.000363075,0.000363075,0.000363075
70,3717.07,1.33141,1.55674,0.01038,0.68479,0.57407,0.60313,0.41659,1.35241,1.6119,0.00876,0.000352076,0.000352076,0.000352076
71,3770.84,1.32115,1.5202,0.01014,0.70696,0.56917,0.61811,0.43645,1.30679,1.56391,0.0084,0.000341077,0.000341077,0.000341077
72,3828.26,1.27112,1.4576,0.00992,0.70896,0.57874,0.62166,0.43395,1.36136,1.57448,0.00908,0.000330078,0.000330078,0.000330078
73,3879.75,1.37827,1.55843,0.01013,0.70937,0.54998,0.61585,0.44253,1.29962,1.57722,0.00832,0.000319079,0.000319079,0.000319079
74,3936.13,1.40632,1.60717,0.01041,0.73448,0.54429,0.6136,0.42555,1.3771,1.60912,0.00872,0.00030808,0.00030808,0.00030808
75,3998.17,1.48727,1.76228,0.01275,0.73112,0.5431,0.60738,0.41908,1.38366,1.62804,0.00915,0.000297081,0.000297081,0.000297081
76,4058.59,1.44837,1.76708,0.01222,0.7078,0.54744,0.60543,0.42916,1.32759,1.60605,0.00848,0.000286083,0.000286083,0.000286083
77,4115.51,1.32456,1.50989,0.01057,0.68979,0.55473,0.60254,0.42392,1.35315,1.59118,0.00876,0.000275084,0.000275084,0.000275084
78,4168.55,1.39447,1.55717,0.0108,0.71935,0.55608,0.59997,0.42073,1.35485,1.56032,0.00882,0.000264085,0.000264085,0.000264085
79,4223.16,1.2811,1.52739,0.01143,0.70951,0.56343,0.60246,0.42529,1.3349,1.52491,0.0087,0.000253086,0.000253086,0.000253086
80,4286.83,1.42695,1.62375,0.01,0.69225,0.57122,0.59213,0.42576,1.31018,1.52334,0.00861,0.000242087,0.000242087,0.000242087
81,4345.1,1.33265,1.53732,0.01054,0.69281,0.57287,0.5945,0.42805,1.31347,1.52146,0.00862,0.000231088,0.000231088,0.000231088
82,4398.53,1.45076,1.6999,0.0117,0.69046,0.5595,0.60083,0.4263,1.33702,1.52065,0.00882,0.000220089,0.000220089,0.000220089
83,4454.02,1.27239,1.40373,0.00969,0.69207,0.55864,0.6028,0.4218,1.36663,1.54327,0.00895,0.00020909,0.00020909,0.00020909
84,4506.01,1.30633,1.59965,0.01124,0.67516,0.55655,0.59161,0.4236,1.32702,1.56805,0.00856,0.000198091,0.000198091,0.000198091
85,4560.16,1.27677,1.50888,0.00979,0.68069,0.56226,0.59257,0.43251,1.28861,1.55778,0.00833,0.000187092,0.000187092,0.000187092
86,4618.34,1.29314,1.58142,0.01081,0.67728,0.56608,0.59606,0.42732,1.3353,1.5816,0.0086,0.000176094,0.000176094,0.000176094
87,4674.37,1.40117,1.55931,0.01013,0.69398,0.56609,0.60673,0.42482,1.37133,1.57251,0.0089,0.000165095,0.000165095,0.000165095
88,4743.29,1.29709,1.49192,0.00925,0.70537,0.57067,0.61491,0.43625,1.34594,1.54135,0.00872,0.000154096,0.000154096,0.000154096
89,4803.32,1.31263,1.60021,0.01136,0.70594,0.57448,0.62,0.44125,1.33719,1.52312,0.00867,0.000143097,0.000143097,0.000143097
90,4868.85,1.40934,1.54154,0.00987,0.72414,0.56131,0.62032,0.43973,1.34297,1.51477,0.00872,0.000132098,0.000132098,0.000132098
91,4920.18,1.30894,1.77748,0.01139,0.71543,0.57115,0.62174,0.4269,1.4146,1.52382,0.00929,0.000121099,0.000121099,0.000121099
92,4970.17,1.21587,1.60038,0.01183,0.73505,0.56743,0.62087,0.40576,1.49843,1.55345,0.00986,0.0001101,0.0001101,0.0001101
93,5019.38,1.3254,1.53525,0.01136,0.73591,0.5752,0.62155,0.41382,1.45895,1.55308,0.00953,9.91012e-05,9.91012e-05,9.91012e-05
